municipio,periodo,ocorrencias,ocorrencias_ameaça,ocorrencias_calúnia,ocorrencias_difamação,ocorrencias_estupro,ocorrencias_injúria,ocorrencias_lesão_corporal_grave_ou_gravíssima___dolosa,ocorrencias_lesão_corporal_leve___dolosa,ocorrencias_vias_de_fato,feminicidios,populacao_total,populacao_feminina,alfabetizacao_total,taxa_violencia_100k,taxa_feminicidio_100k,taxa_violencia_mes_anterior,taxa_violencia_3_meses_atras,taxa_violencia_6_meses_atras,houve_violencia_mes_anterior,houve_violencia_3_meses_atras,houve_violencia_6_meses_atras,media_3_meses,media_6_meses,variacao_mensal,variacao_3_meses,variacao_6_meses,feminicidios_mes_anterior,media_feminicidios_3_meses,ano,mes,mes_seno,mes_cosseno,escalada
BLUMENAU,2020-07-01,193.0,85.0,1.0,6.0,1.0,31.0,0.0,58.0,11.0,0.0,361261,184878,98.61,104.39316738606,0.0,87.08445569510704,72.48023020586548,110.34303702982507,1,1,1,85.101165813852,92.85402625875803,0.19875776397515543,0.44029850746268684,-0.0539215686274509,1.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,0
BOCAINA DO SUL,2020-07-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515,1681,91.98,59.488399762046406,0.0,0.0,0.0,178.4651992861392,0,0,1,0.0,49.573666468372004,,,-0.6666666666666666,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BOM JARDIM DA SERRA,2020-07-01,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4026,1971,94.08,101.47133434804667,0.0,152.20700152207002,50.735667174023334,355.14967021816335,1,1,1,67.64755623203112,135.2951124640622,-0.33333333333333337,1.0,-0.7142857142857143,1.0,0.3333333333333333,2020,7,-0.4999999999999997,-0.8660254037844388,1
BOM JESUS,2020-07-01,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2777,1352,93.56,147.92899408284023,0.0,0.0,147.92899408284023,147.92899408284023,0,1,1,123.2741617357002,123.2741617357002,,0.0,0.0,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BOM JESUS DO OESTE,2020-07-01,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2187,1082,93.1,369.68576709796673,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BOM RETIRO,2020-07-01,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,8418,4186,94.41,143.3349259436216,0.0,0.0,23.889154323936932,0.0,0,1,0,31.85220576524925,47.77830864787387,,5.000000000000001,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BOMBINHAS,2020-07-01,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25058,12713,98.12,47.19578384331,0.0,173.05120742546998,165.185243451585,361.83434279871,1,1,1,152.07530349511,199.27108733842,-0.7272727272727273,-0.7142857142857143,-0.8695652173913043,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BOTUVERA,2020-07-01,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5363,2648,97.27,188.82175226586105,0.0,37.764350453172206,188.82175226586105,0.0,1,1,0,138.46928499496477,88.11681772406848,4.000000000000001,0.0,,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
BRACO DO NORTE,2020-07-01,10.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,33773,17032,97.53,58.71301080319399,0.0,93.94081728511038,117.42602160638798,211.36683889149836,1,1,1,111.55472052606858,133.08282448723972,-0.375,-0.5,-0.7222222222222222,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,1
BRACO DO TROMBUDO,2020-07-01,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4026,2057,97.14,145.84346135148274,0.0,97.22897423432183,0.0,97.22897423432183,1,0,1,32.40965807810728,32.40965807810728,0.5,,0.5,0.0,0.0,2020,7,-0.4999999999999997,-0.8660254037844388,0
